epoch,train_loss,val_loss
1.0,0.7329884171485901,0.598606526851654
2.0,0.5986770987510681,0.4974251985549927
3.0,0.49691468477249146,0.41594216227531433
4.0,0.415937602519989,0.36970508098602295
5.0,0.3703152537345886,0.33381345868110657
6.0,0.3346427083015442,0.28297218680381775
7.0,0.28335535526275635,0.22168944776058197
8.0,0.2217118740081787,0.1689346879720688
9.0,0.16875877976417542,0.13383357226848602
10.0,0.13385918736457825,0.1073763445019722
11.0,0.10759049654006958,0.07999780774116516
12.0,0.08034191280603409,0.054049454629421234
13.0,0.054330013692379,0.034479428082704544
14.0,0.034646742045879364,0.02220059558749199
15.0,0.022256596013903618,0.01514781080186367
16.0,0.015130126848816872,0.010988382622599602
17.0,0.010980674996972084,0.008367715403437614
18.0,0.008348184637725353,0.006478056777268648
19.0,0.00645144609734416,0.005009078420698643
20.0,0.00498046213760972,0.003837977070361376
21.0,0.0038159636314958334,0.002922925865277648
22.0,0.0029050481971353292,0.002249665791168809
23.0,0.0022328689228743315,0.0017436626367270947
24.0,0.0017303192289546132,0.0013682548888027668
25.0,0.0013558382634073496,0.0010848314268514514
26.0,0.0010750925866886973,0.0008695164578966796
27.0,0.0008624886977486312,0.000705194950569421
28.0,0.0007001857156865299,0.0005782071966677904
29.0,0.000574846169911325,0.0004798399459104985
30.0,0.00047738102148287,0.0004033107543364167
31.0,0.0004010733391623944,0.0003431190853007138
32.0,0.00034097887692041695,0.0002952389477286488
33.0,0.0002931271737907082,0.0002567657793406397
34.0,0.00025472400011494756,0.0002255104627693072
35.0,0.00022379221627488732,0.00019995988986920565
36.0,0.00019854256242979318,0.00017904312699101865
37.0,0.00017785895033739507,0.00016187250730581582
38.0,0.00016089819837361574,0.00014746052329428494
39.0,0.000146685226354748,0.0001353164843749255
40.0,0.00013468231190927327,0.00012500998855102807
