epoch,train_loss,val_loss
1.0,0.7958446741104126,0.6583507061004639
2.0,0.6581591963768005,0.5563853979110718
3.0,0.5561359524726868,0.4862900972366333
4.0,0.4862481951713562,0.45742878317832947
5.0,0.45790326595306396,0.4637446105480194
6.0,0.4647418260574341,0.47158879041671753
7.0,0.47279998660087585,0.46120357513427734
8.0,0.46233782172203064,0.43508341908454895
9.0,0.43597346544265747,0.4023267328739166
10.0,0.402910441160202,0.37103620171546936
11.0,0.37133166193962097,0.345804899930954
12.0,0.3458634316921234,0.3318276107311249
13.0,0.33179035782814026,0.3189646899700165
14.0,0.31903380155563354,0.30652129650115967
15.0,0.30699798464775085,0.2915056049823761
16.0,0.2919727861881256,0.270111620426178
17.0,0.2706829607486725,0.2448064684867859
18.0,0.24534963071346283,0.21793057024478912
19.0,0.21842193603515625,0.20054970681667328
20.0,0.2009619176387787,0.18802767992019653
21.0,0.1883344054222107,0.17903952300548553
22.0,0.17908895015716553,0.17055591940879822
23.0,0.17071303725242615,0.16013263165950775
24.0,0.1603696644306183,0.15057572722434998
25.0,0.15078894793987274,0.1450960636138916
26.0,0.14500510692596436,0.14045391976833344
27.0,0.14060768485069275,0.13796962797641754
28.0,0.13815084099769592,0.1352323293685913
29.0,0.13538788259029388,0.13240307569503784
30.0,0.13252057135105133,0.129959836602211
31.0,0.13006645441055298,0.12757860124111176
32.0,0.12767426669597626,0.12525814771652222
33.0,0.12534330785274506,0.12299446761608124
34.0,0.1230698674917221,0.12078247964382172
35.0,0.12084909528493881,0.11861669272184372
36.0,0.11867544054985046,0.11649224162101746
37.0,0.11654406785964966,0.11460939794778824
38.0,0.11461849510669708,0.11248412728309631
39.0,0.1125071793794632,0.11036908626556396
40.0,0.11040642857551575,0.10839308053255081
